dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,graph_memory_state_norm,param_memory_state_norm,runtime_sec,num_nodes,num_edges,hidden_dim,memory_rank,task_type,metric_name
photo,graph_only,0,120,118,0.828758180141449,0.8352941274642944,0.8640522956848145,0.8274509906768799,0.8343137502670288,0.699999988079071,0.30000001192092896,1.0,0.0,0.0330091267824173,0.0,0.19544027745723724,0.0,3.4838552474975586,7650,238162,64,16,multiclass,accuracy
photo,graph_only,1,120,119,0.8313725590705872,0.8361111283302307,0.8705882430076599,0.8313725590705872,0.8361111283302307,0.6999999284744263,0.30000007152557373,1.0,0.0,0.013064706698060036,0.0,0.3589949607849121,0.0,2.9547414779663086,7650,238162,64,16,multiclass,accuracy
photo,graph_only,2,120,119,0.786928117275238,0.8102941513061523,0.8235294222831726,0.786928117275238,0.8102941513061523,0.6999999284744263,0.30000007152557373,1.0,0.0,0.009227779693901539,0.0,0.28101614117622375,0.0,2.7466864585876465,7650,238162,64,16,multiclass,accuracy
photo,ougp,0,120,118,0.7594771385192871,0.763235330581665,0.7803921699523926,0.7568627595901489,0.7635621428489685,0.699999988079071,0.30000001192092896,0.6999999284744263,0.30000007152557373,0.015670964494347572,0.0030093397945165634,0.19952471554279327,2.8170952796936035,2.903707265853882,7650,238162,64,16,multiclass,accuracy
photo,ougp,1,120,118,0.7516340017318726,0.7537581920623779,0.7686274647712708,0.7411764860153198,0.7547385692596436,0.7000000476837158,0.2999999523162842,0.699999988079071,0.30000001192092896,0.0085653280839324,0.002874776255339384,0.371701180934906,1.8837305307388306,3.1893105506896973,7650,238162,64,16,multiclass,accuracy
photo,ougp,2,120,119,0.7320261597633362,0.7341503500938416,0.7607843279838562,0.7320261597633362,0.7341503500938416,0.699999988079071,0.30000001192092896,0.6999999284744263,0.30000007152557373,0.004668829496949911,0.0028571244329214096,0.2930561602115631,3.089268684387207,3.1254470348358154,7650,238162,64,16,multiclass,accuracy
