dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,message_cost_ratio,message_cost_reduction,parameter_cost_ratio,parameter_cost_reduction,dense_message_cost,effective_message_cost,dense_parameter_count,effective_parameter_count,memory_state_items,memory_overhead_vs_dense_params,graph_memory_state_norm,param_memory_state_norm,graph_recall_bias_norm,param_recall_bias_norm,steering_memory_state_norm,runtime_sec,num_nodes,num_edges,original_num_edges,edge_sample_size,hidden_dim,num_gnn_layers,memory_rank,memory_write_mode,graph_score_init,param_score_init,freeze_pruning_scores,backbone,param_memory_slots,task_type,metric_name
cora,dense,0,4,3,0.30799999833106995,0.3160000145435333,0.5214285850524902,0.30799999833106995,0.3160000145435333,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,19643984.0,19643984.0,23552.0,23552.0,10860.0,0.4611073434352875,0.0,0.0,0.0,0.0,0.0,1.3029417991638184,2708,10556,10556,0,16,4,4,residual,constant,constant,False,deepgcn,16,multiclass,accuracy
cora,ougp,0,4,3,0.31200000643730164,0.31299999356269836,0.5142857432365417,0.31200000643730164,0.31299999356269836,0.7999998927116394,0.2000001072883606,0.8000000715255737,0.19999992847442627,0.06666670739650726,0.0666666030883789,0.8353818655014038,0.1646181344985962,0.796521782875061,0.20347821712493896,19643984.0,16410228.0,23552.0,18759.681640625,10860.0,0.4611073434352875,0.0009943111799657345,0.524124801158905,0.3171536922454834,0.04062772914767265,0.0,1.6801745891571045,2708,10556,10556,0,16,4,4,residual,constant,constant,False,deepgcn,16,multiclass,accuracy
