dataset,variant,seed,epoch,edge_id,src_node,dst_node,prev_mask,current_mask,mask_delta,graph_score,graph_utility,src_degree,dst_degree,src_feature_norm,dst_feature_norm,src_node_importance,dst_node_importance,edge_importance,graph_keep,param_keep
photo,ougp,2,20,31464,1051,6837,1.0,0.9828550815582275,0.01714491844177246,1.9497582912445068,5.4630899803953525e-09,21.0,1.0,0.03913302719593048,0.051298920065164566,0.14698480069637299,0.04926617443561554,0.05080850422382355,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,87452,2748,4372,1.0,0.9828550815582275,0.01714491844177246,1.9497582912445068,2.0065358263821054e-09,21.0,1.0,0.041486989706754684,0.052414245903491974,0.1494501680135727,0.05036170780658722,0.05059416964650154,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,172790,5521,1095,1.0,0.9828550815582275,0.01714491844177246,1.94976007938385,2.7270508073939936e-09,20.0,2.0,0.037293706089258194,0.03798685967922211,0.14150609076023102,0.056611038744449615,0.05040072649717331,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,203780,6590,3333,1.0,0.9828550815582275,0.01714491844177246,1.9497618675231934,1.9389105432310316e-08,17.0,1.0,0.037113480269908905,0.06757373362779617,0.13455623388290405,0.07091714441776276,0.05756423622369766,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,1112,37,4760,1.0,0.9828552007675171,0.01714479923248291,1.9497703313827515,1.6235679467513364e-08,7.0,1.0,0.06741998344659805,0.041775599122047424,0.13992951810359955,0.04303760826587677,0.05092997848987579,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,7763,263,6969,1.0,0.9828552007675171,0.01714479923248291,1.9497731924057007,3.087557942649255e-08,5.0,1.0,0.04085889086127281,0.053074486553668976,0.09942613542079926,0.058610882610082626,0.049375709146261215,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,8416,289,2727,1.0,0.9828552007675171,0.01714479923248291,1.9497714042663574,9.66392033063812e-09,9.0,4.0,0.04402254521846771,0.04103049635887146,0.11713962256908417,0.08235818147659302,0.05296260863542557,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,8420,289,2323,1.0,0.9828552007675171,0.01714479923248291,1.949770212173462,9.004101464427094e-09,9.0,3.0,0.04402254521846771,0.042874645441770554,0.11713962256908417,0.0813983827829361,0.05251180753111839,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,15127,514,6351,1.0,0.9828552007675171,0.01714479923248291,1.9497642517089844,8.347011082321387e-09,24.0,2.0,0.0419960543513298,0.043274231255054474,0.1556103527545929,0.060880374163389206,0.05679001286625862,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,22352,738,7194,1.0,0.9828552007675171,0.01714479923248291,1.949771523475647,9.944634005165653e-10,8.0,3.0,0.04138029366731644,0.042562827467918396,0.11032916605472565,0.07492971420288086,0.04663250595331192,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,22357,738,4231,1.0,0.9828552007675171,0.01714479923248291,1.949770450592041,4.3385299797193966e-09,8.0,2.0,0.04138029366731644,0.055555559694767,0.11032916605472565,0.07879306375980377,0.04866695776581764,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,50537,1625,3655,1.0,0.9828552007675171,0.01714479923248291,1.9497661590576172,6.386383422096742e-09,12.0,2.0,0.03925343230366707,0.04920678213238716,0.12208767235279083,0.06790771335363388,0.04953964799642563,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,57288,1815,1380,1.0,0.9828552007675171,0.01714479923248291,1.9497727155685425,2.6407165343300676e-09,6.0,2.0,0.0589255653321743,0.05698028579354286,0.11512808501720428,0.07350577414035797,0.048002321273088455,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,65475,2083,3153,1.0,0.9828552007675171,0.01714479923248291,1.9497638940811157,2.124367792788462e-09,18.0,3.0,0.04275691509246826,0.0407569594681263,0.1446358561515808,0.07078258693218231,0.0545334629714489,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,74172,2283,6571,1.0,0.9828552007675171,0.01714479923248291,1.949772596359253,1.2713269548214612e-08,8.0,4.0,0.044237393885850906,0.03737175464630127,0.1125132367014885,0.08453646302223206,0.053325019776821136,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,93528,2990,4798,1.0,0.9828552007675171,0.01714479923248291,1.9497712850570679,2.3281126360075177e-08,7.0,1.0,0.056254394352436066,0.0613139346241951,0.13286904990673065,0.06762495636940002,0.05756310746073723,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,108306,3465,5830,1.0,0.9828552007675171,0.01714479923248291,1.9497730731964111,2.325203585229474e-09,6.0,2.0,0.056433264166116714,0.055814556777477264,0.11261939257383347,0.07261522114276886,0.04705168306827545,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,113248,3615,1720,1.0,0.9828552007675171,0.01714479923248291,1.9497716426849365,2.2513071407104235e-09,8.0,3.0,0.04248592630028725,0.04693232849240303,0.11272045969963074,0.08078625053167343,0.04909609630703926,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,140046,4456,65,1.0,0.9828552007675171,0.01714479923248291,1.9497727155685425,3.6353742238759423e-09,7.0,3.0,0.03815238177776337,0.036810509860515594,0.09802510589361191,0.06498570740222931,0.041914403438568115,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,146079,4661,6691,1.0,0.9828552007675171,0.01714479923248291,1.9497723579406738,8.65633875690719e-09,7.0,3.0,0.04914731904864311,0.050379276275634766,0.11196991056203842,0.08379491418600082,0.05170738324522972,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,158807,5062,1960,1.0,0.9828552007675171,0.01714479923248291,1.9497652053833008,1.6146191050836478e-09,12.0,1.0,0.05255883187055588,0.04267895966768265,0.1360330879688263,0.03884683549404144,0.044235941022634506,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,159557,5085,4022,1.0,0.9828552007675171,0.01714479923248291,1.9497705698013306,7.446739669347835e-09,7.0,1.0,0.058621037751436234,0.07001399993896484,0.12207820266485214,0.07054374366998672,0.05053513124585152,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,169614,5411,141,1.0,0.9828552007675171,0.01714479923248291,1.949769139289856,1.0352207091557375e-08,9.0,2.0,0.0472983755171299,0.044901326298713684,0.12176241725683212,0.06615384668111801,0.050287168473005295,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,172787,5521,6181,1.0,0.9828552007675171,0.01714479923248291,1.9497714042663574,2.727032377691785e-09,20.0,5.0,0.037293706089258194,0.036711156368255615,0.14150609076023102,0.08484552800655365,0.05745934322476387,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,174473,5594,4770,1.0,0.9828552007675171,0.01714479923248291,1.9497718811035156,1.988828213228544e-09,6.0,1.0,0.06154574081301689,0.08111071586608887,0.11816366761922836,0.08208758383989334,0.050698354840278625,0.9828571677207947,0.9828571081161499
