dataset,variant,seed,epoch,edge_id,src_node,dst_node,prev_mask,current_mask,mask_delta,graph_score,graph_utility,src_degree,dst_degree,src_feature_norm,dst_feature_norm,src_node_importance,dst_node_importance,edge_importance,graph_keep,param_keep
photo,graph_only,2,20,31464,1051,6837,1.0,0.9828550815582275,0.01714491844177246,1.9497624635696411,5.5532844989159e-09,21.0,1.0,0.03913302719593048,0.051298920065164566,0.14697691798210144,0.04926832765340805,0.05081256106495857,0.9828571677207947,1.0
photo,graph_only,2,20,87452,2748,4372,1.0,0.9828550815582275,0.01714491844177246,1.9497624635696411,1.876939492717611e-09,21.0,1.0,0.041486989706754684,0.052414245903491974,0.14943648874759674,0.050326474010944366,0.050532642751932144,0.9828571677207947,1.0
photo,graph_only,2,20,1112,37,4760,1.0,0.9828552007675171,0.01714479923248291,1.9497746229171753,1.6203028252448348e-08,7.0,1.0,0.06741998344659805,0.041775599122047424,0.13987508416175842,0.04298863559961319,0.05082561448216438,0.9828571677207947,1.0
photo,graph_only,2,20,8420,289,2323,1.0,0.9828552007675171,0.01714479923248291,1.9497745037078857,9.123724886705986e-09,9.0,3.0,0.04402254521846771,0.042874645441770554,0.11710751056671143,0.08128086477518082,0.05247429385781288,0.9828571677207947,1.0
photo,graph_only,2,20,15127,514,6351,1.0,0.9828552007675171,0.01714479923248291,1.949768304824829,8.387259775588518e-09,24.0,2.0,0.0419960543513298,0.043274231255054474,0.15559296309947968,0.06084487959742546,0.05675441771745682,0.9828571677207947,1.0
photo,graph_only,2,20,22357,738,4231,1.0,0.9828552007675171,0.01714479923248291,1.9497746229171753,4.0916940946544855e-09,8.0,2.0,0.04138029366731644,0.055555559694767,0.11026661098003387,0.07873135060071945,0.048539821058511734,0.9828571677207947,1.0
photo,graph_only,2,20,50537,1625,3655,1.0,0.9828552007675171,0.01714479923248291,1.949770450592041,6.412069986083679e-09,12.0,2.0,0.03925343230366707,0.04920678213238716,0.12207990884780884,0.06789794564247131,0.04951653257012367,0.9828571677207947,1.0
photo,graph_only,2,20,65475,2083,3153,1.0,0.9828552007675171,0.01714479923248291,1.94976806640625,2.1573902664329125e-09,18.0,3.0,0.04275691509246826,0.0407569594681263,0.14462047815322876,0.07076659798622131,0.05452711135149002,0.9828571677207947,1.0
photo,graph_only,2,20,158807,5062,1960,1.0,0.9828552007675171,0.01714479923248291,1.9497696161270142,1.6183022699678418e-09,12.0,1.0,0.05255883187055588,0.04267895966768265,0.13603073358535767,0.03884494677186012,0.044229257851839066,0.9828571677207947,1.0
photo,graph_only,2,20,169614,5411,141,1.0,0.9828552007675171,0.01714479923248291,1.9497734308242798,1.0169839192997188e-08,9.0,2.0,0.0472983755171299,0.044901326298713684,0.12170802801847458,0.06599170714616776,0.05013203248381615,0.9828571677207947,1.0
