dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,graph_memory_state_norm,param_memory_state_norm,graph_recall_bias_norm,param_recall_bias_norm,steering_memory_state_norm,runtime_sec,num_nodes,num_edges,hidden_dim,memory_rank,param_memory_slots,task_type,metric_name
photo,ougp,0,120,119,0.7477124333381653,0.7583333849906921,0.7660130858421326,0.7477124333381653,0.7583333849906921,0.6999999284744263,0.30000007152557373,0.699999988079071,0.30000001192092896,0.026753954589366913,0.1020561158657074,0.19700407981872559,14.833093643188477,1.8330246210098267,1.5575493574142456,0.0,3.530074119567871,7650,238162,64,16,64,multiclass,accuracy
photo,ougp,1,120,119,0.7333333492279053,0.7444444894790649,0.7568627595901489,0.7333333492279053,0.7444444894790649,0.7000000476837158,0.2999999523162842,0.6999999284744263,0.30000007152557373,0.016844315454363823,0.08844788372516632,0.3696254789829254,9.937352180480957,2.085181474685669,1.248528003692627,0.0,2.9574737548828125,7650,238162,64,16,64,multiclass,accuracy
photo,ougp,2,120,119,0.686274528503418,0.6857843399047852,0.7084967494010925,0.686274528503418,0.6857843399047852,0.6999999284744263,0.30000007152557373,0.7000000476837158,0.2999999523162842,0.020741188898682594,0.16799500584602356,0.29918450117111206,10.708953857421875,2.274252414703369,1.9138160943984985,0.0,2.959212064743042,7650,238162,64,16,64,multiclass,accuracy
