dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,graph_memory_state_norm,param_memory_state_norm,graph_recall_bias_norm,param_recall_bias_norm,steering_memory_state_norm,runtime_sec,num_nodes,num_edges,hidden_dim,memory_rank,task_type,metric_name
photo,ougp,0,120,118,0.758169949054718,0.7620915174484253,0.7803921699523926,0.758169949054718,0.7642157077789307,0.7000000476837158,0.2999999523162842,0.7000000476837158,0.2999999523162842,0.015051541849970818,0.0028571109287440777,0.1946152001619339,2.8149874210357666,2.3306972980499268,0.011378876864910126,0.0,3.9982845783233643,7650,238162,64,16,multiclass,accuracy
photo,ougp,1,120,118,0.7477124333381653,0.7558823823928833,0.7738562226295471,0.7450980544090271,0.755719006061554,0.7000000476837158,0.2999999523162842,0.699999988079071,0.30000001192092896,0.034973885864019394,0.0028686760924756527,0.370378702878952,1.8855513334274292,2.0789175033569336,0.009384592063724995,0.0,3.1785690784454346,7650,238162,64,16,multiclass,accuracy
photo,ougp,2,120,119,0.7307189702987671,0.7310457825660706,0.758169949054718,0.7307189702987671,0.7310457825660706,0.699999988079071,0.30000001192092896,0.7000000476837158,0.2999999523162842,0.007862117141485214,0.0028570760041475296,0.2873108983039856,3.096686363220215,1.9168413877487183,0.011153222061693668,0.0,3.247551918029785,7650,238162,64,16,multiclass,accuracy
