dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,message_cost_ratio,message_cost_reduction,parameter_cost_ratio,parameter_cost_reduction,dense_message_cost,effective_message_cost,dense_parameter_count,effective_parameter_count,memory_state_items,memory_overhead_vs_dense_params,graph_memory_state_norm,param_memory_state_norm,graph_recall_bias_norm,param_recall_bias_norm,steering_memory_state_norm,runtime_sec,num_nodes,num_edges,original_num_edges,edge_sample_size,hidden_dim,memory_rank,memory_write_mode,graph_score_init,param_score_init,freeze_pruning_scores,backbone,param_memory_slots,task_type,metric_name
cora,random_static,0,4,1,0.5120000243186951,0.5220000147819519,0.7714285850524902,0.4819999933242798,0.5009999871253967,0.7999999523162842,0.20000004768371582,0.800000011920929,0.19999998807907104,0.06666672229766846,0.10083004832267761,0.8389754295349121,0.1610245704650879,0.800000011920929,0.19999998807907104,19219536.0,16124719.0,23040.0,18432.0,10860.0,0.4713541567325592,0.0,0.0,0.0,0.0,0.0,0.9904859066009521,2708,10556,10556,0,16,4,residual,random,random,True,gcn,16,multiclass,accuracy
cora,degree_magnitude_static,0,4,1,0.5059999823570251,0.5180000066757202,0.7642857432365417,0.46000000834465027,0.47699999809265137,0.7999999523162842,0.20000004768371582,0.8000001311302185,0.1999998688697815,0.0666666254401207,0.07340705394744873,0.8389754295349121,0.1610245704650879,0.8000000715255737,0.19999992847442627,19219536.0,16124719.0,23040.0,18432.001953125,10860.0,0.4713541567325592,0.0,0.0,0.0,0.0,0.0,0.7108213901519775,2708,10556,10556,0,16,4,residual,degree,magnitude,True,gcn,16,multiclass,accuracy
cora,similarity_magnitude_static,0,4,1,0.5099999904632568,0.5199999809265137,0.7714285850524902,0.4620000123977661,0.4790000021457672,0.7999997735023499,0.20000022649765015,0.8000001311302185,0.1999998688697815,0.06666687875986099,0.07340705394744873,0.8389753103256226,0.16102468967437744,0.8000000715255737,0.19999992847442627,19219536.0,16124716.0,23040.0,18432.001953125,10860.0,0.4713541567325592,0.0,0.0,0.0,0.0,0.0,0.7430014610290527,2708,10556,10556,0,16,4,residual,similarity,magnitude,True,gcn,16,multiclass,accuracy
cora,ougp,0,4,1,0.5080000162124634,0.5189999938011169,0.8071428537368774,0.5040000081062317,0.5139999985694885,0.7999997735023499,0.20000022649765015,0.800000011920929,0.19999998807907104,0.06666677445173264,0.06666648387908936,0.8389753103256226,0.16102468967437744,0.800000011920929,0.19999998807907104,19219536.0,16124716.0,23040.0,18432.0,10860.0,0.4713541567325592,0.001985254930332303,0.20182915031909943,0.35234254598617554,0.02566719800233841,0.0,2.8155674934387207,2708,10556,10556,0,16,4,residual,constant,constant,False,gcn,16,multiclass,accuracy
