dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,graph_memory_state_norm,param_memory_state_norm,graph_recall_bias_norm,param_recall_bias_norm,steering_memory_state_norm,runtime_sec,num_nodes,num_edges,hidden_dim,memory_rank,param_memory_slots,task_type,metric_name
photo,ougp,0,120,115,0.715032696723938,0.7339869737625122,0.7346405386924744,0.7137255072593689,0.731372594833374,0.6999999284744263,0.30000007152557373,0.7000000476837158,0.2999999523162842,0.008195298723876476,0.08028185367584229,0.19400279223918915,10.027945518493652,2.3345820903778076,1.5516271591186523,0.0,3.725207805633545,7650,238162,64,16,64,multiclass,accuracy
photo,ougp,1,120,117,0.7333333492279053,0.7452614307403564,0.7490196228027344,0.7254902124404907,0.7346405386924744,0.6999999284744263,0.30000007152557373,0.699999988079071,0.30000001192092896,0.01265255268663168,0.18715298175811768,0.37196752429008484,6.90677547454834,2.342569589614868,1.3049203157424927,0.0,2.881230592727661,7650,238162,64,16,64,multiclass,accuracy
photo,ougp,2,120,113,0.6980392336845398,0.7049019932746887,0.686274528503418,0.6627451181411743,0.6782680153846741,0.7000000476837158,0.2999999523162842,0.699999988079071,0.30000001192092896,0.01637703739106655,0.07566950470209122,0.28878167271614075,12.76608657836914,2.2867541313171387,1.06903874874115,0.0,3.1416337490081787,7650,238162,64,16,64,multiclass,accuracy
