dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,graph_memory_state_norm,param_memory_state_norm,graph_recall_bias_norm,param_recall_bias_norm,steering_memory_state_norm,runtime_sec,num_nodes,num_edges,hidden_dim,memory_rank,backbone,param_memory_slots,task_type,metric_name
cora,dense,0,4,3,0.6299999952316284,0.6639999747276306,0.9428571462631226,0.6299999952316284,0.6639999747276306,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0704209804534912,2708,10556,16,4,sage,16,multiclass,accuracy
cora,ougp,0,4,3,0.6240000128746033,0.6610000133514404,0.9428571462631226,0.6240000128746033,0.6610000133514404,0.8000000715255737,0.19999992847442627,0.7999998927116394,0.2000001072883606,0.06666674464941025,0.06666659563779831,0.0028476212173700333,0.4110177755355835,0.4079474210739136,0.03656519204378128,0.0,0.7509517669677734,2708,10556,16,4,sage,16,multiclass,accuracy
