dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,graph_memory_state_norm,param_memory_state_norm,graph_recall_bias_norm,param_recall_bias_norm,steering_memory_state_norm,runtime_sec,num_nodes,num_edges,hidden_dim,memory_rank,param_memory_slots,task_type,metric_name
photo,ougp,0,120,118,0.7594771385192871,0.7642157077789307,0.7764706015586853,0.7555555701255798,0.7616013288497925,0.7000000476837158,0.2999999523162842,0.6999999284744263,0.30000007152557373,0.008541131392121315,0.00601180037483573,0.1947421282529831,22.774202346801758,2.0456185340881348,0.0269857719540596,0.0,3.7841198444366455,7650,238162,64,16,64,multiclass,accuracy
photo,ougp,1,120,118,0.743790864944458,0.7524510025978088,0.7673202753067017,0.7424836754798889,0.7517973780632019,0.7000000476837158,0.2999999523162842,0.6999999284744263,0.30000007152557373,0.007315140683203936,0.00606223801150918,0.3653584122657776,13.279953002929688,2.4590415954589844,0.02739655412733555,0.0,3.0903820991516113,7650,238162,64,16,64,multiclass,accuracy
photo,ougp,2,120,119,0.7333333492279053,0.7316993474960327,0.7516340017318726,0.7333333492279053,0.7316993474960327,0.6999999284744263,0.30000007152557373,0.699999988079071,0.30000001192092896,0.007206728216260672,0.0040610674768686295,0.29235705733299255,22.108768463134766,1.8260159492492676,0.01942029595375061,0.0,3.069650173187256,7650,238162,64,16,64,multiclass,accuracy
