dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,graph_memory_state_norm,param_memory_state_norm,runtime_sec,num_nodes,num_edges,hidden_dim,memory_rank,task_type,metric_name
ogbn-arxiv,dense,0,80,76,0.5964965224266052,0.6069790124893188,0.5644868612289429,0.595053493976593,0.6032343506813049,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.41438364982605,169343,1166243,64,8,multiclass,accuracy
ogbn-arxiv,dense,1,80,79,0.595791757106781,0.6029257774353027,0.564959704875946,0.595791757106781,0.6029257774353027,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.98996639251709,169343,1166243,64,8,multiclass,accuracy
ogbn-arxiv,dense,2,80,79,0.5981743931770325,0.6054975986480713,0.5658283829689026,0.5981743931770325,0.6054975986480713,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0756642818450928,169343,1166243,64,8,multiclass,accuracy
ogbn-arxiv,param_only,0,80,79,0.5877713561058044,0.5965681076049805,0.5560528039932251,0.5877713561058044,0.5965681076049805,1.0,0.0,0.7000000476837158,0.2999999523162842,0.0,0.004328115843236446,0.0,1.2241806983947754,4.021146297454834,169343,1166243,64,8,multiclass,accuracy
ogbn-arxiv,param_only,1,80,79,0.5871337652206421,0.5943666100502014,0.556283712387085,0.5871337652206421,0.5943666100502014,1.0,0.0,0.699999988079071,0.30000001192092896,0.0,0.017391376197338104,0.0,1.8242361545562744,3.971691846847534,169343,1166243,64,8,multiclass,accuracy
ogbn-arxiv,param_only,2,80,79,0.5897848606109619,0.5967738628387451,0.556283712387085,0.5897848606109619,0.5967738628387451,1.0,0.0,0.6999999284744263,0.30000007152557373,0.0,0.004285809583961964,0.0,1.3467206954956055,3.9677298069000244,169343,1166243,64,8,multiclass,accuracy
