setting,best_test_acc_mean,best_test_acc_std,graph_sparsity,param_sparsity,graph_churn,param_churn,param_gamma,param_score_scale,interpretation
old_ougp_global_param_memory,0.7503,0.0119,0.300,0.300,0.014,0.003,2.0,none,"Old baseline; parameter memory mostly behaved like weak/global bias"
channel_memory_unscaled_gamma_0p2,0.7480,0.0169,0.300,0.300,0.015,0.022,0.2,none,"Channel memory active but still not scale-aligned"
channel_memory_unscaled_gamma_2p0,0.7281,0.0170,0.300,0.300,0.012,0.114,2.0,none,"Too strong; parameter mask churn is high"
channel_memory_param_logit_scaled_gamma_0p2,0.7550,0.0149,0.300,0.300,0.015,0.003,0.2,ema_param_logits_std,"Current best; channel memory and recall are expressed in param-logit units"
