dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,graph_memory_state_norm,param_memory_state_norm,runtime_sec,num_nodes,num_edges,hidden_dim,memory_rank
cora,dense,0,120,31,0.8060000538825989,0.8090000152587891,1.0,0.796000063419342,0.8090000152587891,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3486571311950684,2708,10556,64,16
cora,dense,1,120,84,0.7940000295639038,0.8020000457763672,1.0,0.7900000214576721,0.8010000586509705,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0089702606201172,2708,10556,64,16
cora,dense,2,120,102,0.7940000295639038,0.8140000104904175,1.0,0.7900000214576721,0.8070000410079956,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0012774467468262,2708,10556,64,16
cora,graph_only,0,120,33,0.8080000281333923,0.8110000491142273,1.0,0.7980000376701355,0.7980000376701355,0.699999988079071,0.30000001192092896,1.0,0.0,0.0052042752504348755,0.0,0.1349315494298935,0.0,2.5417535305023193,2708,10556,64,16
cora,graph_only,1,120,90,0.8020000457763672,0.7970000505447388,1.0,0.784000039100647,0.7950000166893005,0.6999999284744263,0.30000007152557373,1.0,0.0,0.01657872274518013,0.0,0.23617853224277496,0.0,2.4292948246002197,2708,10556,64,16
cora,graph_only,2,120,80,0.800000011920929,0.8170000314712524,1.0,0.7780000567436218,0.796000063419342,0.699999988079071,0.30000001192092896,1.0,0.0,0.010304189287126064,0.0,0.18811413645744324,0.0,2.376662254333496,2708,10556,64,16
cora,param_only,0,120,32,0.8060000538825989,0.8090000152587891,0.9928571581840515,0.7940000295639038,0.8050000667572021,1.0,0.0,0.7000000476837158,0.2999999523162842,0.0,0.0029087066650390625,0.0,0.46981093287467957,2.0655832290649414,2708,10556,64,16
cora,param_only,1,120,63,0.7920000553131104,0.8100000619888306,0.9928571581840515,0.7880000472068787,0.8020000457763672,1.0,0.0,0.699999988079071,0.30000001192092896,0.0,0.002857070416212082,0.0,0.49227216839790344,1.9316279888153076,2708,10556,64,16
cora,param_only,2,120,29,0.7920000553131104,0.8250000476837158,0.985714316368103,0.7880000472068787,0.8080000281333923,1.0,0.0,0.699999988079071,0.30000001192092896,0.0,0.002874329686164856,0.0,0.4527563154697418,1.9293742179870605,2708,10556,64,16
cora,dual_static,0,120,34,0.8080000281333923,0.8090000152587891,0.9928571581840515,0.7980000376701355,0.8040000200271606,0.699999988079071,0.30000001192092896,0.699999988079071,0.30000001192092896,0.002859765198081732,0.0028571542352437973,0.0,0.0,2.001232147216797,2708,10556,64,16
cora,dual_static,1,120,106,0.7940000295639038,0.7950000166893005,1.0,0.7920000553131104,0.796000063419342,0.699999988079071,0.30000001192092896,0.6999999284744263,0.30000007152557373,0.0028598555363714695,0.0028571132570505142,0.0,0.0,2.0876944065093994,2708,10556,64,16
cora,dual_static,2,120,29,0.7920000553131104,0.8230000138282776,0.9928571581840515,0.7860000133514404,0.8040000200271606,0.699999988079071,0.30000001192092896,0.7000000476837158,0.2999999523162842,0.002859958214685321,0.0028571849688887596,0.0,0.0,2.0745785236358643,2708,10556,64,16
cora,ougp_no_cross,0,120,34,0.8080000281333923,0.8090000152587891,1.0,0.7920000553131104,0.7980000376701355,0.6999999284744263,0.30000007152557373,0.6999999284744263,0.30000007152557373,0.014741826802492142,0.002857106737792492,0.1397707462310791,0.46959394216537476,2.9265201091766357,2708,10556,64,16
cora,ougp_no_cross,1,120,110,0.800000011920929,0.796000063419342,1.0,0.7900000214576721,0.7970000505447388,0.6999999284744263,0.30000007152557373,0.6999999284744263,0.30000007152557373,0.0066965557634830475,0.002857184037566185,0.2560364603996277,0.5018262267112732,2.9098920822143555,2708,10556,64,16
cora,ougp_no_cross,2,120,80,0.7980000376701355,0.8160000443458557,1.0,0.7880000472068787,0.8010000586509705,0.699999988079071,0.30000001192092896,0.7000000476837158,0.2999999523162842,0.0034225250128656626,0.002857144922018051,0.20652715861797333,0.46600157022476196,2.8436527252197266,2708,10556,64,16
cora,ougp,0,120,34,0.8080000281333923,0.8090000152587891,1.0,0.7940000295639038,0.7990000247955322,0.699999988079071,0.30000001192092896,0.699999988079071,0.30000001192092896,0.0070958212018013,0.0028571607545018196,0.13766053318977356,0.46962761878967285,2.946331262588501,2708,10556,64,16
cora,ougp,1,120,97,0.800000011920929,0.7940000295639038,1.0,0.7920000553131104,0.7950000166893005,0.699999988079071,0.30000001192092896,0.699999988079071,0.30000001192092896,0.010074959136545658,0.0028571151196956635,0.2560923993587494,0.49872177839279175,2.8418571949005127,2708,10556,64,16
cora,ougp,2,120,80,0.7980000376701355,0.815000057220459,1.0,0.7900000214576721,0.8010000586509705,0.699999988079071,0.30000001192092896,0.7000000476837158,0.2999999523162842,0.003834625706076622,0.0028571533039212227,0.20862096548080444,0.46436837315559387,2.8759098052978516,2708,10556,64,16
