dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,graph_memory_state_norm,param_memory_state_norm,runtime_sec,num_nodes,num_edges,hidden_dim,memory_rank
photo,dense,0,120,118,0.8078431487083435,0.8259804248809814,0.8470588326454163,0.8078431487083435,0.8248366117477417,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4661123752593994,7650,238162,64,16
photo,dense,1,120,114,0.814379096031189,0.8215686678886414,0.8549019694328308,0.814379096031189,0.8263072371482849,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2174832820892334,7650,238162,64,16
photo,dense,2,120,119,0.7738562226295471,0.7898693084716797,0.8091503381729126,0.7738562226295471,0.7898693084716797,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3253536224365234,7650,238162,64,16
photo,graph_only,0,120,119,0.8274509906768799,0.8334967494010925,0.8640522956848145,0.8274509906768799,0.8334967494010925,0.699999988079071,0.30000001192092896,1.0,0.0,0.006942253094166517,0.0,0.19430771470069885,0.0,2.9505786895751953,7650,238162,64,16
photo,graph_only,1,120,119,0.8300653696060181,0.8346405625343323,0.8705882430076599,0.8300653696060181,0.8346405625343323,0.7000000476837158,0.2999999523162842,1.0,0.0,0.012297242879867554,0.0,0.36290696263313293,0.0,2.7096729278564453,7650,238162,64,16
photo,graph_only,2,120,119,0.7895424962043762,0.8138889074325562,0.828758180141449,0.7895424962043762,0.8138889074325562,0.7000000476837158,0.2999999523162842,1.0,0.0,0.025709329172968864,0.0,0.28103452920913696,0.0,2.70810866355896,7650,238162,64,16
photo,param_only,0,120,119,0.7137255072593689,0.7246732115745544,0.7424836754798889,0.7137255072593689,0.7246732115745544,1.0,0.0,0.7000000476837158,0.2999999523162842,0.0,0.002903052605688572,0.0,2.7939352989196777,2.20029878616333,7650,238162,64,16
photo,param_only,1,120,118,0.7019608020782471,0.7165032625198364,0.729411780834198,0.6928104758262634,0.711928129196167,1.0,0.0,0.699999988079071,0.30000001192092896,0.0,0.0028571453876793385,0.0,1.868245005607605,2.247898578643799,7650,238162,64,16
photo,param_only,2,120,119,0.6849673390388489,0.6952614784240723,0.7084967494010925,0.6849673390388489,0.6952614784240723,1.0,0.0,0.699999988079071,0.30000001192092896,0.0,0.002857087180018425,0.0,3.0720407962799072,2.2542104721069336,7650,238162,64,16
photo,dual_static,0,120,119,0.7228758335113525,0.7315359711647034,0.7490196228027344,0.7228758335113525,0.7315359711647034,0.6999999284744263,0.30000007152557373,0.7000000476837158,0.2999999523162842,0.002857201499864459,0.0028665554709732533,0.0,0.0,2.1884591579437256,7650,238162,64,16
photo,dual_static,1,120,118,0.7045751810073853,0.7184640765190125,0.7320261597633362,0.6993464231491089,0.715032696723938,0.6999999284744263,0.30000007152557373,0.7000000476837158,0.2999999523162842,0.0028571465518325567,0.0028858445584774017,0.0,0.0,2.1116316318511963,7650,238162,64,16
photo,dual_static,2,120,119,0.6888889074325562,0.6982026100158691,0.715032696723938,0.6888889074325562,0.6982026100158691,0.6999999284744263,0.30000007152557373,0.699999988079071,0.30000001192092896,0.002857242012396455,0.002867531031370163,0.0,0.0,2.096238374710083,7650,238162,64,16
photo,ougp_no_cross,0,120,119,0.7594771385192871,0.7686274647712708,0.785620927810669,0.7594771385192871,0.7686274647712708,0.6999999284744263,0.30000007152557373,0.699999988079071,0.30000001192092896,0.009143910370767117,0.0028727087192237377,0.19639436900615692,2.8144397735595703,3.011054039001465,7650,238162,64,16
photo,ougp_no_cross,1,120,118,0.7503268122673035,0.7522876262664795,0.7633987069129944,0.7385621070861816,0.7490196228027344,0.699999988079071,0.30000001192092896,0.7000000476837158,0.2999999523162842,0.0183617752045393,0.0030104289762675762,0.3679504990577698,1.8669074773788452,3.124542474746704,7650,238162,64,16
photo,ougp_no_cross,2,120,119,0.7307189702987671,0.7330065369606018,0.7607843279838562,0.7307189702987671,0.7330065369606018,0.7000000476837158,0.2999999523162842,0.6999999284744263,0.30000007152557373,0.013305909000337124,0.0028572045266628265,0.29391902685165405,3.080112934112549,3.102104425430298,7650,238162,64,16
photo,ougp,0,120,118,0.758169949054718,0.7642157077789307,0.7843137383460999,0.758169949054718,0.7650327086448669,0.699999988079071,0.30000001192092896,0.7000000476837158,0.2999999523162842,0.017233358696103096,0.003463529981672764,0.20070642232894897,2.8062338829040527,2.971480131149292,7650,238162,64,16
photo,ougp,1,120,118,0.7516340017318726,0.7562091946601868,0.772549033164978,0.7464052438735962,0.7563725709915161,0.7000000476837158,0.2999999523162842,0.699999988079071,0.30000001192092896,0.023274222388863564,0.003117665182799101,0.3695548474788666,1.8884083032608032,2.995154857635498,7650,238162,64,16
photo,ougp,2,120,119,0.7307189702987671,0.7321895360946655,0.7555555701255798,0.7307189702987671,0.7321895360946655,0.699999988079071,0.30000001192092896,0.6999999284744263,0.30000007152557373,0.024884892627596855,0.0028778240084648132,0.29465457797050476,3.0901920795440674,3.118833303451538,7650,238162,64,16
