dataset,backbone,variant,best_test_acc,graph_sparsity,param_sparsity,message_cost_reduction,parameter_cost_reduction,graph_churn,param_churn,seeds,epochs
cora,gcn,dense,0.5240,0.000,0.000,0.000,0.000,0.000,0.000,0,3
cora,gcn,ougp,0.5210,0.200,0.200,0.161,0.200,0.100,0.100,0,3
