dataset,variant,seed,epoch,edge_id,src_node,dst_node,prev_mask,current_mask,mask_delta,graph_score,graph_utility,src_degree,dst_degree,src_feature_norm,dst_feature_norm,src_node_importance,dst_node_importance,edge_importance,graph_keep,param_keep
photo,graph_only,1,20,6491,232,1508,1.0,0.9828501343727112,0.01714986562728882,1.9493985176086426,3.5124074759806945e-09,1.0,1.0,0.0672672763466835,0.06119900569319725,0.06743183732032776,0.06061423569917679,0.03315311297774315,0.9828572869300842,1.0
photo,graph_only,1,20,12284,424,4537,1.0,0.9828501343727112,0.01714986562728882,1.9493985176086426,3.5124074759806945e-09,1.0,1.0,0.06565321981906891,0.1154700517654419,0.06561847031116486,0.121586874127388,0.047942932695150375,0.9828572869300842,1.0
photo,graph_only,1,20,21476,700,2008,1.0,0.9828501343727112,0.01714986562728882,1.949398398399353,3.221278799259153e-10,2.0,1.0,0.051164451986551285,0.07955573499202728,0.06825222074985504,0.08067752420902252,0.03733712434768677,0.9828572869300842,1.0
photo,graph_only,1,20,27661,910,6368,1.0,0.9828501343727112,0.01714986562728882,1.9493985176086426,3.5124074759806945e-09,1.0,1.0,0.09284766763448715,0.04938647896051407,0.09617099165916443,0.04734305292367935,0.03702010586857796,0.9828572869300842,1.0
photo,graph_only,1,20,27741,913,6944,1.0,0.9828501343727112,0.01714986562728882,1.9493985176086426,3.5124074759806945e-09,1.0,1.0,0.047565147280693054,0.10599978268146515,0.045296814292669296,0.11094718426465988,0.04020259529352188,0.9828572869300842,1.0
photo,graph_only,1,20,31464,1051,6837,1.0,0.9828501343727112,0.01714986562728882,1.9493985176086426,7.977886795629274e-09,21.0,1.0,0.03913302719593048,0.051298920065164566,0.14831550419330597,0.05042720586061478,0.05227864906191826,0.9828572869300842,1.0
photo,graph_only,1,20,34901,1155,6359,1.0,0.9828501343727112,0.01714986562728882,1.949398398399353,3.5124074759806945e-09,1.0,1.0,0.07453560084104538,0.10599979013204575,0.07559768110513687,0.11094719171524048,0.04777781292796135,0.9828572869300842,1.0
photo,graph_only,1,20,46684,1508,232,1.0,0.9828501343727112,0.01714986562728882,1.949398398399353,3.5124074759806945e-09,1.0,1.0,0.06119900569319725,0.0672672763466835,0.06061423569917679,0.06743183732032776,0.03315311297774315,0.9828572869300842,1.0
photo,graph_only,1,20,50987,1641,1957,1.0,0.9828501343727112,0.01714986562728882,1.949398398399353,3.5124074759806945e-09,1.0,1.0,0.07980868965387344,0.07352146506309509,0.0815219134092331,0.07445831596851349,0.04013665392994881,0.9828572869300842,1.0
photo,graph_only,1,20,61113,1957,1641,1.0,0.9828501343727112,0.01714986562728882,1.949398398399353,3.5124074759806945e-09,1.0,1.0,0.07352146506309509,0.07980868965387344,0.07445831596851349,0.0815219134092331,0.04013665392994881,0.9828572869300842,1.0
photo,graph_only,1,20,74187,2285,1074,1.0,0.9828501343727112,0.01714986562728882,1.9493985176086426,4.107087558935518e-09,4.0,1.0,0.07832604646682739,0.06608185917139053,0.12338179349899292,0.06620445847511292,0.04873144254088402,0.9828572869300842,1.0
photo,graph_only,1,20,87452,2748,4372,1.0,0.9828501343727112,0.01714986562728882,1.9493985176086426,1.6859014184689158e-09,21.0,1.0,0.041486989706754684,0.052414245903491974,0.1507124900817871,0.05095230042934418,0.05096413940191269,0.9828572869300842,1.0
photo,graph_only,1,20,97570,3146,6799,1.0,0.9828501343727112,0.01714986562728882,1.949398398399353,3.5124074759806945e-09,1.0,1.0,0.057639043778181076,0.08032193779945374,0.056614674627780914,0.08209853619337082,0.035819899290800095,0.9828572869300842,1.0
photo,graph_only,1,20,107172,3426,1273,1.0,0.9828501343727112,0.01714986562728882,1.9493985176086426,3.5124074759806945e-09,2.0,1.0,0.048911597579717636,0.09284766763448715,0.0666530653834343,0.09617098420858383,0.04184760898351669,0.9828572869300842,1.0
photo,graph_only,1,20,109091,3498,4826,1.0,0.9828501343727112,0.01714986562728882,1.949398398399353,7.54428608473745e-09,3.0,1.0,0.09491579234600067,0.056613851338624954,0.13210126757621765,0.056170862168073654,0.04952007532119751,0.9828572869300842,1.0
photo,graph_only,1,20,130662,4180,3604,1.0,0.9828501343727112,0.01714986562728882,1.9493985176086426,3.5124074759806945e-09,1.0,1.0,0.11250879615545273,0.06696494668722153,0.11825995147228241,0.0670921728014946,0.047479625791311264,0.9828572869300842,1.0
photo,graph_only,1,20,131239,4199,488,1.0,0.9828501343727112,0.01714986562728882,1.9493985176086426,2.0851635695873227e-10,2.0,1.0,0.10206207633018494,0.06565321981906891,0.1258317232131958,0.06503832340240479,0.04778527095913887,0.9828572869300842,1.0
photo,graph_only,1,20,142432,4537,424,1.0,0.9828501343727112,0.01714986562728882,1.9493985176086426,3.5124074759806945e-09,1.0,1.0,0.1154700517654419,0.06565321981906891,0.121586874127388,0.06561847031116486,0.047942932695150375,0.9828572869300842,1.0
