dataset,variant,seed,epoch,edge_id,src_node,dst_node,prev_mask,current_mask,mask_delta,graph_score,graph_utility,src_degree,dst_degree,src_feature_norm,dst_feature_norm,src_node_importance,dst_node_importance,edge_importance,graph_keep,param_keep
photo,graph_only,0,20,1858,65,6916,1.0,0.9828504920005798,0.017149507999420166,1.9493638277053833,6.4006338007516206e-09,3.0,21.0,0.036810509860515594,0.03752933070063591,0.06522220373153687,0.1449112594127655,0.054184019565582275,0.9828572869300842,1.0
photo,graph_only,0,20,33348,1095,5521,1.0,0.9828504920005798,0.017149507999420166,1.9493626356124878,1.3368301132743454e-08,2.0,20.0,0.03798685967922211,0.037293706089258194,0.05566270276904106,0.14202310144901276,0.05286899954080582,0.9828572869300842,1.0
photo,graph_only,0,20,61310,1960,5062,1.0,0.9828504920005798,0.017149507999420166,1.9493685960769653,3.5123606245690553e-09,1.0,12.0,0.04267895966768265,0.05255883187055588,0.03960172086954117,0.13662275671958923,0.04496191442012787,0.9828572869300842,1.0
photo,graph_only,0,20,104034,3333,6590,1.0,0.9828504920005798,0.017149507999420166,1.9493650197982788,8.978360277467345e-10,1.0,17.0,0.06757373362779617,0.037113480269908905,0.06859727948904037,0.1341036558151245,0.050906773656606674,0.9828572869300842,1.0
photo,graph_only,0,20,114236,3655,1625,1.0,0.9828504920005798,0.017149507999420166,1.9493680000305176,9.790354305039273e-09,2.0,12.0,0.04920678213238716,0.03925343230366707,0.06717827171087265,0.12236984074115753,0.04991185665130615,0.9828572869300842,1.0
photo,graph_only,0,20,124703,4014,6201,1.0,0.9828504920005798,0.017149507999420166,1.9493653774261475,4.919145979442874e-09,3.0,15.0,0.04141576960682869,0.041922181844711304,0.07077357918024063,0.1374574601650238,0.05332634970545769,0.9828572869300842,1.0
photo,graph_only,0,20,136224,4372,2748,1.0,0.9828504920005798,0.017149507999420166,1.949362874031067,7.29519822328939e-09,1.0,21.0,0.052414245903491974,0.041486989706754684,0.050463076680898666,0.1498306691646576,0.05195479094982147,0.9828572869300842,1.0
photo,graph_only,0,20,193274,6232,6201,1.0,0.9828504920005798,0.017149507999420166,1.9493672847747803,1.472696542492713e-08,3.0,15.0,0.03815238177776337,0.041922181844711304,0.06924860924482346,0.1374574601650238,0.055474452674388885,0.9828572869300842,1.0
photo,graph_only,0,20,211639,6823,6432,1.0,0.9828504920005798,0.017149507999420166,1.9493688344955444,1.527472548445985e-08,2.0,16.0,0.043602071702480316,0.04155857861042023,0.061141520738601685,0.13875824213027954,0.053914133459329605,0.9828572869300842,1.0
photo,graph_only,0,20,211882,6837,1051,1.0,0.9828504920005798,0.017149507999420166,1.9493626356124878,4.610011039574147e-09,1.0,21.0,0.051298920065164566,0.03913302719593048,0.04979034513235092,0.14727649092674255,0.05045558139681816,0.9828572869300842,1.0
photo,graph_only,0,20,1857,65,4456,1.0,0.9828506112098694,0.017149388790130615,1.9493719339370728,6.400591612276685e-09,3.0,7.0,0.036810509860515594,0.03815238177776337,0.06522220373153687,0.09846030175685883,0.04257126897573471,0.9828572869300842,1.0
photo,graph_only,0,20,4298,141,5411,1.0,0.9828506112098694,0.017149388790130615,1.9493705034255981,2.227693407519382e-08,2.0,9.0,0.044901326298713684,0.0472983755171299,0.0658571720123291,0.12121887505054474,0.052514005452394485,0.9828572869300842,1.0
photo,graph_only,0,20,5477,191,7205,1.0,0.9828506112098694,0.017149388790130615,1.9493699073791504,1.8261804513031166e-08,3.0,12.0,0.045037735253572464,0.03745029494166374,0.07672093063592911,0.12297216057777405,0.05463280528783798,0.9828572869300842,1.0
photo,graph_only,0,20,6491,232,1508,1.0,0.9828506112098694,0.017149388790130615,1.9493796825408936,3.5123370878409332e-09,1.0,1.0,0.0672672763466835,0.06119900569319725,0.06703739613294601,0.060219794511795044,0.032720088958740234,0.9828572869300842,1.0
photo,graph_only,0,20,7763,263,6969,1.0,0.9828506112098694,0.017149388790130615,1.9493776559829712,2.0641868658799467e-08,5.0,1.0,0.04085889086127281,0.053074486553668976,0.09512753784656525,0.055044811218976974,0.04286641627550125,0.9828572869300842,1.0
photo,graph_only,0,20,8416,289,2727,1.0,0.9828506112098694,0.017149388790130615,1.949372410774231,1.3916675811742607e-08,9.0,4.0,0.04402254521846771,0.04103049635887146,0.11704173684120178,0.08209777623414993,0.05337384343147278,0.9828572869300842,1.0
photo,graph_only,0,20,8420,289,2323,1.0,0.9828506112098694,0.017149388790130615,1.9493733644485474,1.3006784982394493e-08,9.0,3.0,0.04402254521846771,0.042874645441770554,0.11704173684120178,0.07935431599617004,0.05245332792401314,0.9828572869300842,1.0
photo,graph_only,0,20,8450,292,1117,1.0,0.9828506112098694,0.017149388790130615,1.9493743181228638,1.8264273649037932e-08,2.0,5.0,0.056523337960243225,0.03934447467327118,0.07703211903572083,0.08864231407642365,0.0461287759244442,0.9828572869300842,1.0
photo,graph_only,0,20,8601,303,4293,1.0,0.9828506112098694,0.017149388790130615,1.949378490447998,3.5123370878409332e-09,4.0,1.0,0.06262243539094925,0.043560683727264404,0.10361850261688232,0.04040342569351196,0.03691127151250839,0.9828572869300842,1.0
photo,graph_only,0,20,8602,303,2038,1.0,0.9828506112098694,0.017149388790130615,1.9493751525878906,3.5123370878409332e-09,4.0,5.0,0.06262243539094925,0.06154574453830719,0.10361850261688232,0.11085450649261475,0.05452404171228409,0.9828572869300842,1.0
photo,graph_only,0,20,12284,424,4537,1.0,0.9828506112098694,0.017149388790130615,1.949379801750183,3.5123370878409332e-09,1.0,1.0,0.06565321981906891,0.1154700517654419,0.06522402912378311,0.12119242548942566,0.047509901225566864,0.9828572869300842,1.0
photo,graph_only,0,20,14577,488,4199,1.0,0.9828506112098694,0.017149388790130615,1.949378252029419,3.5123370878409332e-09,1.0,2.0,0.06565321981906891,0.10206207633018494,0.06506600230932236,0.12608109414577484,0.04869256168603897,0.9828572869300842,1.0
photo,graph_only,0,20,21476,700,2008,1.0,0.9828506112098694,0.017149388790130615,1.949379801750183,4.1828387975506587e-10,2.0,1.0,0.051164451986551285,0.07955573499202728,0.06773516535758972,0.08047370612621307,0.037160083651542664,0.9828572869300842,1.0
photo,graph_only,0,20,22352,738,7194,1.0,0.9828506112098694,0.017149388790130615,1.949373722076416,2.625029082992114e-09,8.0,3.0,0.04138029366731644,0.042562827467918396,0.10974173992872238,0.07540074735879898,0.04696258530020714,0.9828572869300842,1.0
photo,graph_only,0,20,22357,738,4231,1.0,0.9828506112098694,0.017149388790130615,1.949374794960022,3.8675396218934566e-09,8.0,2.0,0.04138029366731644,0.055555559694767,0.10974173992872238,0.07579305768013,0.047381095588207245,0.9828572869300842,1.0
photo,graph_only,0,20,25286,820,2870,1.0,0.9828506112098694,0.017149388790130615,1.9493765830993652,2.1641376690695324e-08,5.0,2.0,0.05083285644650459,0.04307305067777634,0.10245178639888763,0.06058294698596001,0.04633977636694908,0.9828572869300842,1.0
photo,graph_only,0,20,27661,910,6368,1.0,0.9828506112098694,0.017149388790130615,1.9493800401687622,3.5123370878409332e-09,1.0,1.0,0.09284766763448715,0.04938647896051407,0.09577655047178268,0.04694861173629761,0.03658708184957504,0.9828572869300842,1.0
photo,graph_only,0,20,27741,913,6944,1.0,0.9828506112098694,0.017149388790130615,1.949379801750183,3.5123370878409332e-09,1.0,1.0,0.047565147280693054,0.10599978268146515,0.04490237683057785,0.11055274307727814,0.03976956754922867,0.9828572869300842,1.0
photo,graph_only,0,20,31464,1051,6837,1.0,0.9828506112098694,0.017149388790130615,1.9493718147277832,8.217462266202347e-09,21.0,1.0,0.03913302719593048,0.051298920065164566,0.14727649092674255,0.04979034513235092,0.05138590559363365,0.9828572869300842,1.0
photo,graph_only,0,20,32851,1074,2285,1.0,0.9828506112098694,0.017149388790130615,1.9493770599365234,3.5123370878409332e-09,1.0,4.0,0.06608185917139053,0.07832604646682739,0.06570368260145187,0.12234087288379669,0.04791692644357681,0.9828572869300842,1.0
photo,graph_only,0,20,33349,1095,4452,1.0,0.9828506112098694,0.017149388790130615,1.9493727684020996,1.3368211426723065e-08,2.0,27.0,0.03798685967922211,0.03910309448838234,0.05566270276904106,0.15932577848434448,0.05719464272260666,0.9828572869300842,1.0
photo,graph_only,0,20,34141,1117,6116,1.0,0.9828506112098694,0.017149388790130615,1.9493752717971802,1.4070849374547834e-08,5.0,3.0,0.03934447467327118,0.04019339382648468,0.08864231407642365,0.0783175453543663,0.04536869004368782,0.9828572869300842,1.0
