dataset,variant,seed,epoch,edge_id,src_node,dst_node,prev_mask,current_mask,mask_delta,graph_score,graph_utility,src_degree,dst_degree,src_feature_norm,dst_feature_norm,src_node_importance,dst_node_importance,edge_importance,graph_keep,param_keep
photo,ougp,2,20,31464,1051,6837,1.0,0.9828500151634216,0.01714998483657837,1.9492868185043335,5.464644292629828e-09,21.0,1.0,0.03913302719593048,0.051298920065164566,0.1469855010509491,0.0492667518556118,0.0508098378777504,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,65475,2083,3153,1.0,0.9828500151634216,0.01714998483657837,1.949292540550232,2.1249821902102894e-09,18.0,3.0,0.04275691509246826,0.0407569594681263,0.14463667571544647,0.07078354805707932,0.05453430488705635,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,87452,2748,4372,1.0,0.9828500151634216,0.01714998483657837,1.9492868185043335,2.007123578451342e-09,21.0,1.0,0.041486989706754684,0.052414245903491974,0.14945083856582642,0.050362199544906616,0.050594836473464966,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,172790,5521,1095,1.0,0.9828500151634216,0.01714998483657837,1.9492884874343872,2.727829073734256e-09,20.0,2.0,0.037293706089258194,0.03798685967922211,0.14150647819042206,0.056613337248563766,0.05040190368890762,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,203780,6590,3333,1.0,0.9828500151634216,0.01714998483657837,1.9492892026901245,1.9394677863715515e-08,17.0,1.0,0.037113480269908905,0.06757373362779617,0.13455674052238464,0.07091966271400452,0.05756860598921776,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,1112,37,4760,1.0,0.9828501343727112,0.01714986562728882,1.9492977857589722,1.6240418787560884e-08,7.0,1.0,0.06741998344659805,0.041775599122047424,0.13993263244628906,0.04304077476263046,0.050934601575136185,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,7763,263,6969,1.0,0.9828501343727112,0.01714986562728882,1.9493004083633423,3.0884535817676806e-08,5.0,1.0,0.04085889086127281,0.053074486553668976,0.09943042695522308,0.05861569195985794,0.04938376694917679,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,8416,289,2727,1.0,0.9828501343727112,0.01714986562728882,1.9492988586425781,9.666679900988129e-09,9.0,4.0,0.04402254521846771,0.04103049635887146,0.1171407699584961,0.08235946297645569,0.052965011447668076,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,8420,289,2323,1.0,0.9828501343727112,0.01714986562728882,1.9492977857589722,9.006669188238448e-09,9.0,3.0,0.04402254521846771,0.042874645441770554,0.1171407699584961,0.08140185475349426,0.052514635026454926,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,8601,303,4293,1.0,0.9828501343727112,0.01714986562728882,1.9493016004562378,0.0,4.0,1.0,0.06262243539094925,0.043560683727264404,0.10319449752569199,0.0395643413066864,0.035689711570739746,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,22352,738,7194,1.0,0.9828501343727112,0.01714986562728882,1.9492988586425781,9.947255241726793e-10,8.0,3.0,0.04138029366731644,0.042562827467918396,0.11033062636852264,0.07493146508932114,0.046633485704660416,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,22357,738,4231,1.0,0.9828501343727112,0.01714986562728882,1.9492979049682617,4.339808068465345e-09,8.0,2.0,0.04138029366731644,0.055555559694767,0.11033062636852264,0.07879570126533508,0.04866880178451538,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,25286,820,2870,1.0,0.9828501343727112,0.01714986562728882,1.9493013620376587,1.425736684268486e-08,5.0,2.0,0.05083285644650459,0.04307305067777634,0.10269983112812042,0.06071871146559715,0.04541200026869774,0.9828571677207947,0.9828571081161499
photo,ougp,2,20,34141,1117,6116,1.0,0.9828501343727112,0.01714986562728882,1.9493024349212646,5.391112001262854e-09,5.0,3.0,0.03934447467327118,0.04019339382648468,0.08779655396938324,0.07414199411869049,0.042207904160022736,0.9828571677207947,0.9828571081161499
