dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,graph_memory_state_norm,param_memory_state_norm,runtime_sec,num_nodes,num_edges,hidden_dim,memory_rank,task_type,metric_name
photo,graph_only,0,120,119,0.8313725590705872,0.8344771265983582,0.8627451062202454,0.8313725590705872,0.8344771265983582,0.7000000476837158,0.2999999523162842,1.0,0.0,0.015524436719715595,0.0,0.1840793341398239,0.0,3.48962664604187,7650,238162,64,16,multiclass,accuracy
photo,graph_only,1,120,119,0.8339869379997253,0.8359477519989014,0.8692810535430908,0.8339869379997253,0.8359477519989014,0.699999988079071,0.30000001192092896,1.0,0.0,0.01834751106798649,0.0,0.37121304869651794,0.0,2.9968624114990234,7650,238162,64,16,multiclass,accuracy
photo,graph_only,2,120,116,0.785620927810669,0.8026143908500671,0.8248366117477417,0.785620927810669,0.8109477162361145,0.6999999284744263,0.30000007152557373,1.0,0.0,0.008952206932008266,0.0,0.27962884306907654,0.0,3.024010419845581,7650,238162,64,16,multiclass,accuracy
photo,ougp,0,120,118,0.758169949054718,0.763235330581665,0.786928117275238,0.758169949054718,0.7656862735748291,0.6999999284744263,0.30000007152557373,0.699999988079071,0.30000001192092896,0.0078008733689785,0.0028691538609564304,0.19666936993598938,2.818582773208618,3.2125120162963867,7650,238162,64,16,multiclass,accuracy
photo,ougp,1,120,118,0.7516340017318726,0.7535948157310486,0.7673202753067017,0.7424836754798889,0.7539215683937073,0.7000000476837158,0.2999999523162842,0.6999999284744263,0.30000007152557373,0.009056543000042439,0.0028950669802725315,0.3712975084781647,1.8948352336883545,3.2312700748443604,7650,238162,64,16,multiclass,accuracy
photo,ougp,2,120,119,0.729411780834198,0.7302287817001343,0.7568627595901489,0.729411780834198,0.7302287817001343,0.7000000476837158,0.2999999523162842,0.7000000476837158,0.2999999523162842,0.012503494508564472,0.0029593463987112045,0.2864440679550171,3.098018169403076,3.188340902328491,7650,238162,64,16,multiclass,accuracy
