dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,graph_memory_state_norm,param_memory_state_norm,runtime_sec,num_nodes,num_edges,hidden_dim,memory_rank,task_type,metric_name
photo,dense,0,120,118,0.8078431487083435,0.825653612613678,0.8470588326454163,0.8078431487083435,0.8248366117477417,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5724778175354004,7650,238162,64,16,multiclass,accuracy
photo,dense,1,120,114,0.814379096031189,0.8215686678886414,0.8549019694328308,0.814379096031189,0.8263072371482849,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.162642240524292,7650,238162,64,16,multiclass,accuracy
photo,dense,2,120,119,0.7738562226295471,0.7898693084716797,0.8091503381729126,0.7738562226295471,0.7898693084716797,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1811630725860596,7650,238162,64,16,multiclass,accuracy
photo,graph_only,0,120,118,0.8274509906768799,0.8334967494010925,0.8640522956848145,0.8274509906768799,0.8334967494010925,0.6999999284744263,0.30000007152557373,1.0,0.0,0.007598986849188805,0.0,0.19132472574710846,0.0,2.7466394901275635,7650,238162,64,16,multiclass,accuracy
photo,graph_only,1,120,119,0.8313725590705872,0.8346405625343323,0.8732026219367981,0.8313725590705872,0.8346405625343323,0.699999988079071,0.30000001192092896,1.0,0.0,0.021157244220376015,0.0,0.38053810596466064,0.0,2.6177828311920166,7650,238162,64,16,multiclass,accuracy
photo,graph_only,2,120,119,0.7934640645980835,0.8160130977630615,0.8326797485351562,0.7934640645980835,0.8160130977630615,0.6999999284744263,0.30000007152557373,1.0,0.0,0.01731243170797825,0.0,0.29719385504722595,0.0,2.683101177215576,7650,238162,64,16,multiclass,accuracy
photo,param_only,0,120,118,0.7934640645980835,0.808169960975647,0.8209150433540344,0.7921568751335144,0.8058823943138123,1.0,0.0,0.8999999761581421,0.10000002384185791,0.0,0.0009523415938019753,0.0,2.6121017932891846,2.0091607570648193,7650,238162,64,16,multiclass,accuracy
photo,param_only,1,120,119,0.7882353067398071,0.8066993951797485,0.8248366117477417,0.7882353067398071,0.8066993951797485,1.0,0.0,0.8999999761581421,0.10000002384185791,0.0,0.0009523788467049599,0.0,1.7519910335540771,2.0246877670288086,7650,238162,64,16,multiclass,accuracy
photo,param_only,2,120,118,0.7568627595901489,0.7624183297157288,0.7895424962043762,0.7555555701255798,0.7684640884399414,1.0,0.0,0.8999999761581421,0.10000002384185791,0.0,0.0009524915367364883,0.0,2.9164741039276123,1.953524112701416,7650,238162,64,16,multiclass,accuracy
photo,dual_static,0,120,118,0.7921568751335144,0.8104575276374817,0.8300653696060181,0.7921568751335144,0.8102941513061523,0.7000000476837158,0.2999999523162842,0.8999999761581421,0.10000002384185791,0.0028571251314133406,0.0009523415938019753,0.0,0.0,1.970073938369751,7650,238162,64,16,multiclass,accuracy
photo,dual_static,1,120,119,0.7908496856689453,0.8094771504402161,0.8313725590705872,0.7908496856689453,0.8094771504402161,0.6999999284744263,0.30000007152557373,0.8999999761581421,0.10000002384185791,0.0028572031296789646,0.0009524151682853699,0.0,0.0,1.9586546421051025,7650,238162,64,16,multiclass,accuracy
photo,dual_static,2,120,119,0.7594771385192871,0.7718954682350159,0.7934640645980835,0.7594771385192871,0.7718954682350159,0.699999988079071,0.30000001192092896,0.9000000357627869,0.09999996423721313,0.002857165178284049,0.0009524710476398468,0.0,0.0,1.9650390148162842,7650,238162,64,16,multiclass,accuracy
photo,ougp_no_cross,0,120,118,0.8130719065666199,0.8246732354164124,0.8522875905036926,0.8078431487083435,0.8235294222831726,0.699999988079071,0.30000001192092896,0.8999998569488525,0.10000014305114746,0.020892083644866943,0.0009523872286081314,0.2000812441110611,2.639976739883423,2.8686270713806152,7650,238162,64,16,multiclass,accuracy
photo,ougp_no_cross,1,120,119,0.8169934749603271,0.8240196108818054,0.8535947799682617,0.8169934749603271,0.8240196108818054,0.699999988079071,0.30000001192092896,0.8999999165534973,0.10000008344650269,0.020906710997223854,0.0009533381089568138,0.37567606568336487,1.7763216495513916,2.935856580734253,7650,238162,64,16,multiclass,accuracy
photo,ougp_no_cross,2,120,118,0.772549033164978,0.7849673628807068,0.8078431487083435,0.772549033164978,0.7915033102035522,0.7000000476837158,0.2999999523162842,0.9000000357627869,0.09999996423721313,0.011947302147746086,0.000952407717704773,0.2992153763771057,2.9521324634552,2.87642765045166,7650,238162,64,16,multiclass,accuracy
photo,ougp,0,120,118,0.8104575276374817,0.8243464231491089,0.8535947799682617,0.8065359592437744,0.8245097994804382,0.699999988079071,0.30000001192092896,0.8999999165534973,0.10000008344650269,0.008756134659051895,0.0009524011984467506,0.196971595287323,2.6270689964294434,2.8354198932647705,7650,238162,64,16,multiclass,accuracy
photo,ougp,1,120,119,0.8196078538894653,0.8240196108818054,0.8535947799682617,0.8196078538894653,0.8240196108818054,0.7000000476837158,0.2999999523162842,0.8999999761581421,0.10000002384185791,0.013698868453502655,0.0009527448564767838,0.3755999803543091,1.7684569358825684,2.8475189208984375,7650,238162,64,16,multiclass,accuracy
photo,ougp,2,120,119,0.772549033164978,0.7908496856689453,0.8065359592437744,0.772549033164978,0.7908496856689453,0.699999988079071,0.30000001192092896,0.8999999761581421,0.10000002384185791,0.019442250952124596,0.0009525204077363014,0.2904987335205078,2.925079822540283,2.8789029121398926,7650,238162,64,16,multiclass,accuracy
