dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,graph_memory_state_norm,param_memory_state_norm,runtime_sec,num_nodes,num_edges,hidden_dim,memory_rank,task_type,metric_name
photo,dense,0,120,118,0.8078431487083435,0.825653612613678,0.8470588326454163,0.8078431487083435,0.8248366117477417,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8517816066741943,7650,238162,64,16,multiclass,accuracy
photo,dense,1,120,114,0.814379096031189,0.8214052319526672,0.8549019694328308,0.814379096031189,0.8263072371482849,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.230668067932129,7650,238162,64,16,multiclass,accuracy
photo,dense,2,120,119,0.7738562226295471,0.7901961207389832,0.8091503381729126,0.7738562226295471,0.7901961207389832,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1133146286010742,7650,238162,64,16,multiclass,accuracy
photo,graph_only,0,120,118,0.828758180141449,0.8334967494010925,0.8653594851493835,0.8274509906768799,0.8326797485351562,0.6999999284744263,0.30000007152557373,1.0,0.0,0.0271617341786623,0.0,0.1962546706199646,0.0,2.758411169052124,7650,238162,64,16,multiclass,accuracy
photo,graph_only,1,120,119,0.8313725590705872,0.8351307511329651,0.8705882430076599,0.8313725590705872,0.8351307511329651,0.7000000476837158,0.2999999523162842,1.0,0.0,0.006046867463737726,0.0,0.3665555417537689,0.0,2.622532606124878,7650,238162,64,16,multiclass,accuracy
photo,graph_only,2,120,119,0.7895424962043762,0.813235342502594,0.828758180141449,0.7895424962043762,0.813235342502594,0.7000000476837158,0.2999999523162842,1.0,0.0,0.01179410982877016,0.0,0.29202747344970703,0.0,2.6108367443084717,7650,238162,64,16,multiclass,accuracy
photo,param_only,0,120,118,0.8026143908500671,0.8189542889595032,0.8392156958580017,0.7973856329917908,0.81748366355896,1.0,0.0,0.9500000476837158,0.04999995231628418,0.0,0.00047615543007850647,0.0,2.6014809608459473,1.931706190109253,7650,238162,64,16,multiclass,accuracy
photo,param_only,1,120,119,0.8065359592437744,0.8184641003608704,0.8444444537162781,0.8065359592437744,0.8184641003608704,1.0,0.0,0.9499999284744263,0.05000007152557373,0.0,0.00047609489411115646,0.0,1.7284786701202393,1.9340026378631592,7650,238162,64,16,multiclass,accuracy
photo,param_only,2,120,119,0.7647058963775635,0.7803921699523926,0.7973856329917908,0.7647058963775635,0.7803921699523926,1.0,0.0,0.9500000476837158,0.04999995231628418,0.0,0.0004761992022395134,0.0,2.894030809402466,1.9394991397857666,7650,238162,64,16,multiclass,accuracy
photo,dual_static,0,120,118,0.8065359592437744,0.8210784792900085,0.8483660221099854,0.8039215803146362,0.820588231086731,0.699999988079071,0.30000001192092896,0.9500000476837158,0.04999995231628418,0.0028571179136633873,0.00047617312520742416,0.0,0.0,1.9112133979797363,7650,238162,64,16,multiclass,accuracy
photo,dual_static,1,120,119,0.8117647171020508,0.8189542889595032,0.8496732115745544,0.8117647171020508,0.8189542889595032,0.6999999284744263,0.30000007152557373,0.9499998688697815,0.050000131130218506,0.002857109298929572,0.00047613494098186493,0.0,0.0,1.9431793689727783,7650,238162,64,16,multiclass,accuracy
photo,dual_static,2,120,118,0.7647058963775635,0.7782679796218872,0.801307201385498,0.7647058963775635,0.7851307392120361,0.6999999284744263,0.30000007152557373,0.9499999284744263,0.05000007152557373,0.0028572515584528446,0.000476139597594738,0.0,0.0,1.9316859245300293,7650,238162,64,16,multiclass,accuracy
photo,ougp_no_cross,0,120,119,0.8235294222831726,0.83186274766922,0.8601307272911072,0.8235294222831726,0.83186274766922,0.7000000476837158,0.2999999523162842,0.949999988079071,0.050000011920928955,0.028312092646956444,0.0005210349336266518,0.19698722660541534,2.6230006217956543,2.811832904815674,7650,238162,64,16,multiclass,accuracy
photo,ougp_no_cross,1,120,119,0.828758180141449,0.8310457468032837,0.8601307272911072,0.828758180141449,0.8310457468032837,0.7000000476837158,0.2999999523162842,0.9499999284744263,0.05000007152557373,0.007328882347792387,0.0004763007164001465,0.37820208072662354,1.7479894161224365,2.793239116668701,7650,238162,64,16,multiclass,accuracy
photo,ougp_no_cross,2,120,118,0.7816993594169617,0.7936275005340576,0.8183006644248962,0.7816993594169617,0.8027778267860413,0.699999988079071,0.30000001192092896,0.949999988079071,0.050000011920928955,0.01683053746819496,0.0006187744438648224,0.29711484909057617,2.946230411529541,2.906951904296875,7650,238162,64,16,multiclass,accuracy
photo,ougp,0,120,118,0.8222222328186035,0.8300653696060181,0.8588235378265381,0.8209150433540344,0.8285948038101196,0.699999988079071,0.30000001192092896,0.949999988079071,0.050000011920928955,0.008131918497383595,0.0004836181178689003,0.19766776263713837,2.6191649436950684,2.8862385749816895,7650,238162,64,16,multiclass,accuracy
photo,ougp,1,120,119,0.8261438012123108,0.8303921818733215,0.8601307272911072,0.8261438012123108,0.8303921818733215,0.699999988079071,0.30000001192092896,0.9499999284744263,0.05000007152557373,0.00407410878688097,0.0004776250571012497,0.3738982081413269,1.7666319608688354,2.8841400146484375,7650,238162,64,16,multiclass,accuracy
photo,ougp,2,120,118,0.7830065488815308,0.7960784435272217,0.8209150433540344,0.7816993594169617,0.8035947680473328,0.6999999284744263,0.30000007152557373,0.9499998688697815,0.050000131130218506,0.0532451793551445,0.00047613587230443954,0.2906170189380646,2.919973373413086,2.834768533706665,7650,238162,64,16,multiclass,accuracy
