dataset,variant,seed,epoch,edge_id,src_node,dst_node,prev_mask,current_mask,mask_delta,graph_score,graph_utility,src_degree,dst_degree,src_feature_norm,dst_feature_norm,src_node_importance,dst_node_importance,edge_importance,graph_keep,param_keep
photo,graph_only,0,20,3,0,3578,1.0,0.9828570485115051,0.017142951488494873,1.9499846696853638,1.5065880987208402e-08,10.0,401.0,0.0990147516131401,0.03668644279241562,0.18263471126556396,0.2761949300765991,0.11858423054218292,0.9828571677207947,1.0
photo,graph_only,0,20,4,0,7395,1.0,0.9828570485115051,0.017142951488494873,1.9499846696853638,1.4544565551943833e-08,10.0,333.0,0.0990147516131401,0.03990434482693672,0.18263471126556396,0.2740761637687683,0.1179203912615776,0.9828571677207947,1.0
photo,graph_only,0,20,5,0,1210,1.0,0.9828570485115051,0.017142951488494873,1.9499850273132324,1.3465214721009033e-08,10.0,254.0,0.0990147516131401,0.04800153523683548,0.18263471126556396,0.2699621915817261,0.11661415547132492,0.9828571677207947,1.0
photo,graph_only,0,20,6,0,2198,1.0,0.9828570485115051,0.017142951488494873,1.949983835220337,1.6272927894078748e-08,10.0,1434.0,0.0990147516131401,0.03776947781443596,0.18263471126556396,0.3365039825439453,0.13397209346294403,0.9828571677207947,1.0
photo,graph_only,0,20,7,0,5372,1.0,0.9828570485115051,0.017142951488494873,1.9499850273132324,1.265149141005395e-08,10.0,185.0,0.0990147516131401,0.055727824568748474,0.18263471126556396,0.2630798816680908,0.11468418687582016,0.9828571677207947,1.0
photo,graph_only,0,20,8,0,3152,1.0,0.9828570485115051,0.017142951488494873,1.949985146522522,1.3620849337314667e-08,10.0,178.0,0.0990147516131401,0.03755578771233559,0.18263471126556396,0.2420910894870758,0.10968642681837082,0.9828571677207947,1.0
photo,graph_only,0,20,9,0,2239,1.0,0.9828570485115051,0.017142951488494873,1.949984073638916,1.602146504353641e-08,10.0,997.0,0.0990147516131401,0.036961063742637634,0.18263471126556396,0.319845974445343,0.12974287569522858,0.9828571677207947,1.0
photo,graph_only,0,20,26,1,2113,1.0,0.9828570485115051,0.017142951488494873,1.9499852657318115,8.953145780310479e-09,17.0,134.0,0.07761505991220474,0.04794633015990257,0.18004393577575684,0.23825249075889587,0.10687796771526337,0.9828571677207947,1.0
photo,graph_only,0,20,38,3,3311,1.0,0.9828570485115051,0.017142951488494873,1.9499852657318115,2.2354316175920985e-09,28.0,183.0,0.09759000688791275,0.055131785571575165,0.22365441918373108,0.2617514431476593,0.1219266951084137,0.9828571677207947,1.0
photo,graph_only,0,20,40,3,2370,1.0,0.9828570485115051,0.017142951488494873,1.9499850273132324,2.8826394604664074e-09,28.0,285.0,0.09759000688791275,0.04975185543298721,0.22365441918373108,0.2757871747016907,0.12560217082500458,0.9828571677207947,1.0
photo,graph_only,0,20,41,3,7481,1.0,0.9828570485115051,0.017142951488494873,1.949986457824707,1.2716819819402758e-09,28.0,78.0,0.09759000688791275,0.03965257853269577,0.22365441918373108,0.20641976594924927,0.10784578323364258,0.9828571677207947,1.0
