dataset,variant,seed,epoch,edge_id,src_node,dst_node,prev_mask,current_mask,mask_delta,graph_score,graph_utility,src_degree,dst_degree,src_feature_norm,dst_feature_norm,src_node_importance,dst_node_importance,edge_importance,graph_keep,param_keep
photo,ougp,0,20,3,0,3578,1.0,0.9828570485115051,0.017142951488494873,1.9499887228012085,1.8490789344127734e-08,10.0,401.0,0.0990147516131401,0.03668644279241562,0.1828666627407074,0.27671900391578674,0.11970137804746628,0.9828572869300842,0.9828571081161499
photo,ougp,0,20,4,0,7395,1.0,0.9828570485115051,0.017142951488494873,1.9499890804290771,1.7972558552514784e-08,10.0,333.0,0.0990147516131401,0.03990434482693672,0.1828666627407074,0.2747166156768799,0.11906611919403076,0.9828572869300842,0.9828571081161499
photo,ougp,0,20,5,0,1210,1.0,0.9828570485115051,0.017142951488494873,1.9499897956848145,1.6899068810971585e-08,10.0,254.0,0.0990147516131401,0.04800153523683548,0.1828666627407074,0.26988571882247925,0.11757943779230118,0.9828572869300842,0.9828571081161499
photo,ougp,0,20,6,0,2198,1.0,0.9828570485115051,0.017142951488494873,1.9499865770339966,1.9697026232279313e-08,10.0,1434.0,0.0990147516131401,0.03776947781443596,0.1828666627407074,0.33698970079421997,0.13508249819278717,0.9828572869300842,0.9828571081161499
photo,ougp,0,20,9,0,2239,1.0,0.9828570485115051,0.017142951488494873,1.9499871730804443,1.944560423794428e-08,10.0,997.0,0.0990147516131401,0.036961063742637634,0.1828666627407074,0.3202732801437378,0.1308380663394928,0.9828572869300842,0.9828571081161499
photo,ougp,0,20,40,3,2370,1.0,0.9828570485115051,0.017142951488494873,1.9499894380569458,6.40851327560199e-09,28.0,285.0,0.09759000688791275,0.04975185543298721,0.22411885857582092,0.27636757493019104,0.12678690254688263,0.9828572869300842,0.9828571081161499
photo,ougp,0,20,43,3,260,1.0,0.9828570485115051,0.017142951488494873,1.9499891996383667,6.612971947816959e-09,28.0,347.0,0.09759000688791275,0.052199576050043106,0.22411885857582092,0.2887738049030304,0.12994159758090973,0.9828572869300842,0.9828571081161499
photo,ougp,0,20,44,3,3748,1.0,0.9828570485115051,0.017142951488494873,1.9499890804290771,7.022090464658959e-09,28.0,401.0,0.09759000688791275,0.04019339382648468,0.22411885857582092,0.28151535987854004,0.12823328375816345,0.9828572869300842,0.9828571081161499
photo,ougp,0,20,45,3,2198,1.0,0.9828570485115051,0.017142951488494873,1.949987530708313,7.904250587387196e-09,28.0,1434.0,0.09759000688791275,0.03776947781443596,0.22411885857582092,0.33698970079421997,0.14233112335205078,0.9828572869300842,0.9828571081161499
photo,ougp,0,20,46,3,1058,1.0,0.9828570485115051,0.017142951488494873,1.9499884843826294,7.49011519474152e-09,28.0,645.0,0.09759000688791275,0.037011660635471344,0.22411885857582092,0.2998467981815338,0.13293777406215668,0.9828572869300842,0.9828571081161499
photo,ougp,0,20,47,3,5641,1.0,0.9828570485115051,0.017142951488494873,1.949989914894104,6.30094065812159e-09,28.0,207.0,0.09759000688791275,0.04331480711698532,0.22411885857582092,0.25423404574394226,0.12122556567192078,0.9828572869300842,0.9828571081161499
photo,ougp,0,20,49,3,5404,1.0,0.9828570485115051,0.017142951488494873,1.9499884843826294,7.4179906661697714e-09,28.0,688.0,0.09759000688791275,0.04116934537887573,0.22411885857582092,0.3079736530780792,0.13495074212551117,0.9828572869300842,0.9828571081161499
photo,ougp,0,20,50,3,4376,1.0,0.9828570485115051,0.017142951488494873,1.9499880075454712,7.689540559852048e-09,28.0,928.0,0.09759000688791275,0.037877701222896576,0.22411885857582092,0.31763309240341187,0.137436181306839,0.9828572869300842,0.9828571081161499
photo,ougp,0,20,52,3,5234,1.0,0.9828570485115051,0.017142951488494873,1.9499895572662354,6.7401337844330556e-09,28.0,269.0,0.09759000688791275,0.037823472172021866,0.22411885857582092,0.26108986139297485,0.1230536475777626,0.9828572869300842,0.9828571081161499
photo,ougp,0,20,54,3,7582,1.0,0.9828570485115051,0.017142951488494873,1.9499900341033936,6.02466165844362e-09,28.0,219.0,0.09759000688791275,0.05263157933950424,0.22411885857582092,0.2674616575241089,0.12446067482233047,0.9828572869300842,0.9828571081161499
photo,ougp,0,20,58,3,2239,1.0,0.9828570485115051,0.017142951488494873,1.9499880075454712,7.749615171803725e-09,28.0,997.0,0.09759000688791275,0.036961063742637634,0.22411885857582092,0.3202732801437378,0.13811181485652924,0.9828572869300842,0.9828571081161499
