dataset,variant,seed,epochs,best_epoch,best_val_acc,best_test_acc,final_train_acc,final_val_acc,final_test_acc,graph_keep,graph_sparsity,param_keep,param_sparsity,graph_churn,param_churn,message_cost_ratio,message_cost_reduction,parameter_cost_ratio,parameter_cost_reduction,dense_message_cost,effective_message_cost,dense_parameter_count,effective_parameter_count,memory_state_items,memory_overhead_vs_dense_params,graph_memory_state_norm,param_memory_state_norm,graph_recall_bias_norm,param_recall_bias_norm,steering_memory_state_norm,runtime_sec,num_nodes,num_edges,original_num_edges,edge_sample_size,hidden_dim,memory_rank,backbone,param_memory_slots,task_type,metric_name
cora,dense,0,3,1,0.5099999904632568,0.5239999890327454,0.8428571224212646,0.5,0.5299999713897705,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,19219536.0,19219536.0,23040.0,23040.0,10860.0,0.4713541567325592,0.0,0.0,0.0,0.0,0.0,0.41660428047180176,2708,10556,10556,0,16,4,gcn,16,multiclass,accuracy
cora,ougp,0,3,1,0.5080000162124634,0.5210000276565552,0.8214285969734192,0.49799999594688416,0.5199999809265137,0.7999999523162842,0.20000004768371582,0.800000011920929,0.19999998807907104,0.10000009089708328,0.09999986737966537,0.8389754295349121,0.1610245704650879,0.800000011920929,0.19999998807907104,19219536.0,16124719.0,23040.0,18432.0,10860.0,0.4713541567325592,0.0007469472475349903,0.3836524784564972,0.225838765501976,0.029688386246562004,0.0,0.8619744777679443,2708,10556,10556,0,16,4,gcn,16,multiclass,accuracy
