dataset,variant,seed,epoch,edge_id,src_node,dst_node,prev_mask,current_mask,mask_delta,graph_score,graph_utility,src_degree,dst_degree,src_feature_norm,dst_feature_norm,src_node_importance,dst_node_importance,edge_importance,graph_keep,param_keep
photo,ougp_no_cross,2,20,156,7,5413,1.0,0.9828566908836365,0.017143309116363525,1.9499133825302124,2.394666687166591e-08,52.0,2.0,0.040128614753484726,0.05802588537335396,0.18926355242729187,0.07960023730993271,0.07486802339553833,0.9828571677207947,0.9828571677207947
photo,ougp_no_cross,2,20,492,23,6461,1.0,0.9828566908836365,0.017143309116363525,1.9499127864837646,1.9968684483728794e-08,128.0,8.0,0.08111071586608887,0.08084520697593689,0.2755374312400818,0.1616535782814026,0.11567867547273636,0.9828571677207947,0.9828571677207947
photo,ougp_no_cross,2,20,781,28,7523,1.0,0.9828566908836365,0.017143309116363525,1.9499139785766602,4.4150105793505645e-09,196.0,13.0,0.037877701222896576,0.15430335700511932,0.2454061210155487,0.2566547393798828,0.1269260197877884,0.9828571677207947,0.9828571677207947
photo,ougp_no_cross,2,20,787,28,7297,1.0,0.9828566908836365,0.017143309116363525,1.9499081373214722,9.643819076643467e-09,196.0,2.0,0.037877701222896576,0.1178511306643486,0.2454061210155487,0.1429337114095688,0.10016660392284393,0.9828571677207947,0.9828571677207947
photo,ougp_no_cross,2,20,789,28,7137,1.0,0.9828566908836365,0.017143309116363525,1.9499115943908691,2.5378767976036443e-09,196.0,8.0,0.037877701222896576,0.11624763906002045,0.2454061210155487,0.19235444068908691,0.11025111377239227,0.9828571677207947,0.9828571677207947
photo,ougp_no_cross,2,20,790,28,7042,1.0,0.9828566908836365,0.017143309116363525,1.9499150514602661,2.001453891509186e-09,196.0,15.0,0.037877701222896576,0.04938647896051407,0.2454061210155487,0.14214065670967102,0.09752625226974487,0.9828571677207947,0.9828571677207947
photo,ougp_no_cross,2,20,791,28,6996,1.0,0.9828566908836365,0.017143309116363525,1.9499106407165527,6.207948377578987e-09,196.0,6.0,0.037877701222896576,0.11322770267724991,0.2454061210155487,0.18337643146514893,0.10917937010526657,0.9828571677207947,0.9828571677207947
photo,ougp_no_cross,2,20,794,28,6844,1.0,0.9828566908836365,0.017143309116363525,1.9499120712280273,3.903177780983924e-09,196.0,9.0,0.037877701222896576,0.09759000688791275,0.2454061210155487,0.1767142415046692,0.10677734017372131,0.9828571677207947,0.9828571677207947
photo,ougp_no_cross,2,20,795,28,6834,1.0,0.9828566908836365,0.017143309116363525,1.9499140977859497,3.893732447579623e-09,196.0,13.0,0.037877701222896576,0.05447347089648247,0.2454061210155487,0.14253957569599152,0.09823065996170044,0.9828571677207947,0.9828571677207947
photo,ougp_no_cross,2,20,799,28,6627,1.0,0.9828566908836365,0.017143309116363525,1.9499142169952393,4.315710899760461e-09,196.0,13.0,0.037877701222896576,0.05933908373117447,0.2454061210155487,0.1506923884153366,0.10040369629859924,0.9828571677207947,0.9828571677207947
photo,ougp_no_cross,2,20,804,28,6384,1.0,0.9828566908836365,0.017143309116363525,1.9499090909957886,6.276116515380181e-09,196.0,4.0,0.037877701222896576,0.0627455785870552,0.2454061210155487,0.10783705115318298,0.0903163030743599,0.9828571677207947,0.9828571677207947
